nMics,nSources,environmentSize,noisePower,sourcePower,n_runs,time_sec,rmse_mean,rmse_std,mae_mean,mae_std,missed_mean,missed_std
3,2,30,40,80,50,122.07225704193115,0.2147370566283606,0.12083012078695432,0.193054675500845,0.10667121745638287,0.04,0.19595917942265428
3,2,30,60,80,50,122.49574780464172,0.6254246795248666,2.151710955989414,0.5675969038697299,1.934146126744675,0.24489795918367346,0.4300266837899077
3,4,30,40,80,50,155.02074790000916,0.30075461769631234,0.2040307507345134,0.24927089299749355,0.14417788394898792,0.38,0.596322060635023
3,4,30,60,80,50,156.1921410560608,0.3585899793736173,0.29207627935522285,0.3059437785828093,0.21079557921109215,1.04,0.7735631842325486
3,8,30,40,80,50,219.9378159046173,0.43921109592832736,0.45680413270152276,0.32356255002158085,0.24437871316301873,2.4,1.2328828005937953
3,8,30,60,80,50,218.44393491744995,0.7028540331405851,0.9924627160363665,0.5229530585616952,0.6683608665492001,3.64,1.1447270417003348
4,2,30,40,80,50,239.19436287879944,0.17635682852317786,0.08195160699337375,0.16209366292285865,0.07822649352057318,0.04,0.19595917942265428
4,2,30,60,80,50,228.56605172157288,0.33862065641031713,0.824767559602076,0.3219108049520052,0.8247221514132618,0.2,0.4
4,4,30,40,80,50,295.2737720012665,0.19118020761606197,0.0818139267449999,0.16513193798491385,0.06981721436945333,0.22,0.4142463035441596
4,4,30,60,80,50,281.7382457256317,0.32985020003513266,0.4027510594894559,0.2741153725657878,0.2831362861284687,1.04,0.7989993742175271
4,8,30,40,80,50,11026.618747234344,0.31713677196039664,0.578724515530028,0.25342133381815585,0.3886617833805171,1.64,0.8662563131083086
4,8,30,60,80,50,18357.42710494995,0.6246151358810647,1.0541001847924671,0.440430627688499,0.6876257603171984,3.42,1.078702924812944
5,2,30,40,80,50,18680.1588242054,0.17837487259340867,0.1586020238049977,0.1594847768124908,0.12752563122767532,0.0,0.0
5,2,30,60,80,50,82140.910861969,0.3816077712123884,0.733472210529684,0.3478194047365771,0.7247396882574476,0.14,0.3469870314579494
5,4,30,40,80,50,26889.059922218323,0.2608635918456211,0.38103738820269856,0.20811905163505118,0.24146932817717556,0.24,0.4270831300812525
5,4,30,60,80,50,469.5876290798187,0.4712220394511236,1.0402356480031067,0.3964256333277988,0.86550348837893,0.96,0.6621178142898739
5,8,30,40,80,50,598.5290260314941,0.35540953797721725,0.908758535695739,0.23837228425526968,0.3673479616566656,1.5,0.7549834435270749
5,8,30,60,80,50,599.2319469451904,0.9340585367805195,1.2287514292826571,0.571619213162573,0.6055299534519778,3.02,0.94847245611035
6,2,30,40,80,50,363.35080194473267,0.1293537310163162,0.08661671526914257,0.11649344544121452,0.07383745799676338,0.0,0.0
6,2,30,60,80,50,380.2759759426117,0.24801146260973717,0.16509003119730498,0.21880709239118395,0.1366435700031616,0.06,0.23748684174075835
6,4,30,40,80,50,432.36880588531494,0.1846934697140394,0.09647859458877474,0.1585565817915886,0.0788457604714982,0.1,0.3
6,4,30,60,80,50,419.70133113861084,0.5505132162783785,2.0607298019778617,0.3438552245269338,1.0466544254744796,0.56,0.6053098380168622
6,8,30,40,80,50,520.2983961105347,0.5734221270085309,1.303965168988303,0.34885088763167493,0.6698987261247912,0.66,0.7102112361825881
6,8,30,60,80,50,532.8997540473938,0.5366759329106386,0.7201751479049736,0.3408516084052794,0.31946078391367455,2.28,0.980612053770501
